000004SARAH     DAVIS     GRD2LEGAL     20190101000380000005700000190000030400202401TX01A
000005PETER     WILSON    GRD6FINANCE   20200101000550000008250000275000044000202401TX02A
000009SARAH     DAVIS     GRD2LEGAL     20160101000380000005700000190000030400202401TX01A
000010PETER     WILSON    GRD6FINANCE   20170101000550000008250000275000044000202401TX02A
000014SARAH     DAVIS     GRD2LEGAL     20210101000380000005700000190000030400202401TX01A
000015PETER     WILSON    GRD6FINANCE   20220101000550000008250000275000044000202401TX02A
000019SARAH     DAVIS     GRD2LEGAL     20180101000380000005700000190000030400202401TX01A
000020PETER     WILSON    GRD6FINANCE   20190101000550000008250000275000044000202401TX02A
000024SARAH     DAVIS     GRD2LEGAL     20150101000380000005700000190000030400202401TX01A
000025PETER     WILSON    GRD6FINANCE   20160101000550000008250000275000044000202401TX02A
000029SARAH     DAVIS     GRD2LEGAL     20200101000380000005700000190000030400202401TX01A
000030PETER     WILSON    GRD6FINANCE   20210101000550000008250000275000044000202401TX02A
000034SARAH     DAVIS     GRD2LEGAL     20170101000380000005700000190000030400202401TX01A
000035PETER     WILSON    GRD6FINANCE   20180101000550000008250000275000044000202401TX02A
000039SARAH     DAVIS     GRD2LEGAL     20220101000380000005700000190000030400202401TX01A
000040PETER     WILSON    GRD6FINANCE   20150101000550000008250000275000044000202401TX02A
000044SARAH     DAVIS     GRD2LEGAL     20190101000380000005700000190000030400202401TX01A
000045PETER     WILSON    GRD6FINANCE   20200101000550000008250000275000044000202401TX02A
000049SARAH     DAVIS     GRD2LEGAL     20160101000380000005700000190000030400202401TX01A
000050PETER     WILSON    GRD6FINANCE   20170101000550000008250000275000044000202401TX02A
000054SARAH     DAVIS     GRD2LEGAL     20210101000380000005700000190000030400202401TX01A
000055PETER     WILSON    GRD6FINANCE   20220101000550000008250000275000044000202401TX02A
000059SARAH     DAVIS     GRD2LEGAL     20180101000380000005700000190000030400202401TX01A
000060PETER     WILSON    GRD6FINANCE   20190101000550000008250000275000044000202401TX02A
000064SARAH     DAVIS     GRD2LEGAL     20150101000380000005700000190000030400202401TX01A
000065PETER     WILSON    GRD6FINANCE   20160101000550000008250000275000044000202401TX02A
000069SARAH     DAVIS     GRD2LEGAL     20200101000380000005700000190000030400202401TX01A
000070PETER     WILSON    GRD6FINANCE   20210101000550000008250000275000044000202401TX02A
000074SARAH     DAVIS     GRD2LEGAL     20170101000380000005700000190000030400202401TX01A
000075PETER     WILSON    GRD6FINANCE   20180101000550000008250000275000044000202401TX02A
000079SARAH     DAVIS     GRD2LEGAL     20220101000380000005700000190000030400202401TX01A
000080PETER     WILSON    GRD6FINANCE   20150101000550000008250000275000044000202401TX02A
000084SARAH     DAVIS     GRD2LEGAL     20190101000380000005700000190000030400202401TX01A
000085PETER     WILSON    GRD6FINANCE   20200101000550000008250000275000044000202401TX02A
000089SARAH     DAVIS     GRD2LEGAL     20160101000380000005700000190000030400202401TX01A
000090PETER     WILSON    GRD6FINANCE   20170101000550000008250000275000044000202401TX02A
000094SARAH     DAVIS     GRD2LEGAL     20210101000380000005700000190000030400202401TX01A
000095PETER     WILSON    GRD6FINANCE   20220101000550000008250000275000044000202401TX02A
000099SARAH     DAVIS     GRD2LEGAL     20180101000380000005700000190000030400202401TX01A
000100PETER     WILSON    GRD6FINANCE   20190101000550000008250000275000044000202401TX02A
000104SARAH     DAVIS     GRD2LEGAL     20150101000380000005700000190000030400202401TX01A
